dim        | index      | batch size      | sample times    | max sample times     | T_sieve (sec)   | T_slicer (sec)  | len_bound            | required len_bound | db_size         | satisfied vectors
60         | 1          | 1               | 16              | 140                  | 17.3424         | 5.1466          | 1.086                | 1.1             | 17919           | 1399           
60         | 2          | 1               | 41              | 140                  | 18.7021         | 4.791           | 1.042                | 1.1             | 17919           | 1399           
60         | 3          | 1               | 15              | 140                  | 18.2993         | 4.9351          | 1.093                | 1.1             | 17919           | 1399           
60         | 4          | 1               | 5               | 140                  | 19.1695         | 4.0832          | 1.067                | 1.1             | 17919           | 1399           
60         | 5          | 1               | 32              | 140                  | 17.4877         | 4.8866          | 1.096                | 1.1             | 17919           | 1399           
60         | 6          | 1               | 5               | 140                  | 14.8911         | 2.5348          | 1.097                | 1.1             | 17919           | 1399           
60         | 7          | 1               | 8               | 140                  | 7.6919          | 1.9254          | 1.091                | 1.1             | 17919           | 1399           
60         | 8          | 1               | 1               | 140                  | 7.5764          | 1.7345          | 1.092                | 1.1             | 17919           | 1399           
60         | 9          | 1               | 82              | 140                  | 12.3682         | 4.3967          | 1.073                | 1.1             | 17919           | 1399           
60         | 10         | 1               | 20              | 140                  | 14.468          | 4.9459          | 1.088                | 1.1             | 17919           | 1399           
65         | 1          | 1               | 19              | 140                  | 33.774          | 5.7377          | 1.09                 | 1.1             | 36784           | 2873           
65         | 2          | 1               | 24              | 140                  | 34.171          | 5.9742          | 1.088                | 1.1             | 36784           | 2873           
65         | 3          | 1               | 82              | 140                  | 34.3351         | 5.3412          | 1.092                | 1.1             | 36784           | 2873           
65         | 4          | 1               | 48              | 140                  | 21.2614         | 2.5052          | 1.087                | 1.1             | 36784           | 2873           
65         | 5          | 1               | 61              | 140                  | 16.2023         | 7.5664          | 1.095                | 1.1             | 36784           | 2873           
65         | 6          | 1               | 33              | 140                  | 35.0423         | 5.7205          | 1.061                | 1.1             | 36784           | 2873           
65         | 7          | 1               | 20              | 140                  | 34.6955         | 5.4309          | 1.089                | 1.1             | 36784           | 2873           
65         | 8          | 1               | 39              | 140                  | 36.7434         | 7.2609          | 1.089                | 1.1             | 36784           | 2873           
65         | 9          | 1               | 56              | 140                  | 34.519          | 7.2113          | 1.095                | 1.1             | 36784           | 2873           
65         | 10         | 1               | 33              | 140                  | 26.0913         | 7.0743          | 1.086                | 1.1             | 36784           | 2873           
70         | 1          | 1               | 85              | 140                  | 80.6441         | 11.7479         | 1.021                | 1.1             | 75511           | 5899           
70         | 2          | 1               | 56              | 140                  | 77.5831         | 10.0878         | 1.074                | 1.1             | 75511           | 5899           
70         | 3          | 1               | 137             | 140                  | 78.3724         | 14.5539         | 1.093                | 1.1             | 75511           | 5899           
70         | 4          | 1               | 13              | 140                  | 80.502          | 5.7632          | 1.08                 | 1.1             | 75511           | 5899           
70         | 5          | 1               | 63              | 140                  | 78.1665         | 10.15           | 1.082                | 1.1             | 75511           | 5899           
